# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
22	0	56226
51	0	54437
72	38	54143
87	1955	54320
110	10999	54822
124	4636	54679
139	190	54231
155	1	54336
169	0	54491
184	0	54627
199	0	54253
213	0	54673
228	0	54566
244	0	54553
260	0	54420
274	0	54525
291	0	54339
308	0	54251
322	0	54188
338	0	54390
355	0	54440
381	0	54559
396	0	54267
412	0	54086
428	0	54316
443	231	54151
458	5238	54399
473	10140	54771
485	6711	54823
500	1125	54621
514	36	54638
529	1	54705
542	0	54280
556	0	54247
572	0	54550
589	0	54526
605	0	54487
619	0	54555
634	0	54551
650	0	54825
666	0	54805
679	0	54392
694	0	54317
708	0	54161
722	0	54137
737	0	54252
753	0	54204
769	0	54303
783	0	54103
799	0	54079
834	10402	54324
848	7675	54461
863	2042	54423
886	11	54477
103	1	0
